"","Cryo_glm","Cryo_gam","Cryo_gbm1","Cryo_gbm2"
"mean abs error",1.17503728362258,1.17584253283229,1.08022914873075,1.00558618160909
"RMSE",1.5404622196839,1.54774827072565,1.43274908536514,1.33365851305159
