"","Cryo_glm","Cryo_gam","Cryo_gbm1","Cryo_gbm2"
"mean abs error",0.0903681548374586,0.087438271919626,0.0752655458905371,0.0672763443616701
"RMSE",0.109680682218448,0.106457018293378,0.0914705461129271,0.083929594779482
