"","Cryo_glm","Cryo_gam","Cryo_gbm1","Cryo_gbm2"
"MAE",1.15674750757804,1.16835250110205,0.994886023433459,0.955827778045219
"RMSE",1.54992899330957,1.57579179494227,1.34401683659905,1.30707827952058
