pvm;station;temp;x;y;lake;sea;elev
20100901;5414;9;423048;7202522;2;31;10
20100901;5502;8.3;474551;7151934;0;0;115
20100901;5507;8.4;498292;7253023;3;0;121
20100901;5711;7.7;582573;7201935;7;0;223
20100901;5716;7.3;550456;7171435;0;0;341
20100901;6301;8.6;389230;7297938;6;18;19
20100901;6307;10.2;385807;7285709;0;78;3
20100901;6312;8.7;370984;7305766;11;18;8
20100901;6514;7.7;471270;7317473;0;0;161
20100901;6707;7.8;557416;7273037;12;0;203
20100901;6801;7.4;600870;7321211;22;0;264
20100901;6802;7.2;603447;7362754;6;0;160
20100901;6812;6.4;597001;7340045;5;0;486
20100901;7301;7.7;395545;7380877;9;0;92
20100901;7307;7.8;366390;7409306;4;0;84
20100901;7401;8.1;448131;7382689;0;0;195
20100901;7409;8.4;442522;7376065;13;0;85
20100901;7501;6.9;484068;7472300;9;0;179
20100901;7502;7.6;456131;7384837;23;0;106
20100901;7607;7.3;507072;7399694;1;0;208
20100901;7702;7;550676;7463743;7;0;180
20100901;7709;6.9;573491;7413849;9;0;215
20100901;7804;6.4;594295;7451211;2;0;213
20100901;8201;6.2;360902;7543137;17;0;254
20100901;8306;6;409426;7520427;1;0;524
20100901;8307;4.6;376333;7552795;0;0;755
20100901;8308;5.8;379328;7542705;0;0;565
20100901;8311;6.8;409302;7510542;2;0;196
20100901;8312;6.4;384579;7544505;0;0;347
20100901;8315;6.6;410976;7505585;7;0;181
20100901;8404;5.9;449471;7562301;1;0;275
20100901;8601;6.8;531440;7523154;39;0;240
20100901;8602;6.2;507730;7552285;9;0;247
20100901;8606;6.1;516966;7589198;0;0;302
20100901;8607;5.9;518243;7591171;0;0;430
20100901;8704;7;553270;7596722;1;0;253
20100901;8803;6.5;610315;7517108;0;0;370
20100901;9003;6;252581;7672367;45;0;480
20100901;9004;3.5;254982;7671407;10;0;1007
20100901;9201;5.9;360645;7613973;21;0;370
20100901;9405;6.5;449245;7644063;7;0;285
20100901;9603;7;500288;7738706;14;0;107
20100901;9604;7.3;534083;7775269;6;0;22
20100901;9611;7;519616;7662470;15;0;122
20100901;9616;7.2;510557;7670095;13;0;156
20100901;9705;7.7;552332;7638136;24;0;123
20100901;9706;7.4;571774;7719699;31;0;130
20100901;9708;7.3;573855;7720352;36;0;103
