"","phyc_auc_glm","phyc_auc_gam","phyc_auc_gbm1","phyc_auc_gbm2"
"1",0.6975,0.700833333333333,0.8775,0.893888888888889
"2",0.691052171378607,0.699213057417662,0.90119498688429,0.913727776158554
"3",0.760942760942761,0.769360269360269,0.916947250280584,0.929573512906846
"4",0.768382352941176,0.766968325791855,0.908088235294118,0.920814479638009
"5",0.688065610859729,0.695135746606335,0.887443438914027,0.89762443438914
"6",0.767957351290685,0.768237934904602,0.894781144781145,0.906846240179573
"7",0.771324354657688,0.779461279461279,0.918069584736251,0.930976430976431
"8",0.762237762237762,0.78013986013986,0.913846153846154,0.92979020979021
"9",0.809606481481482,0.808738425925926,0.926793981481482,0.94849537037037
"10",0.766968325791855,0.769796380090498,0.934954751131222,0.947680995475113
"11",0.786539003097719,0.783159673331456,0.913827090960293,0.934384680371726
"12",0.707834928229665,0.707535885167464,0.876196172248804,0.905502392344498
"13",0.752937720329025,0.752056404230317,0.853407755581669,0.88219741480611
"14",0.807007786429366,0.807563959955506,0.935483870967742,0.954393770856507
"15",0.805339265850946,0.813681868743048,0.924360400444939,0.939098998887653
"16",0.764140271493213,0.763857466063348,0.925622171945701,0.938065610859729
"17",0.764988687782805,0.764423076923077,0.874151583710407,0.89027149321267
"18",0.735104895104895,0.744055944055944,0.918321678321678,0.934545454545455
"19",0.712328767123288,0.717575051005538,0.876129408335762,0.907315651413582
"20",0.634960718294052,0.645342312008979,0.863355780022447,0.875701459034792
"21",0.785412559842298,0.784849338214587,0.910729372007885,0.931005350605463
"22",0.776285714285714,0.774571428571429,0.913142857142857,0.930857142857143
"23",0.774545454545455,0.774825174825175,0.90965034965035,0.928951048951049
"24",0.744716351501669,0.748053392658509,0.922969966629588,0.938820912124583
"25",0.786195286195286,0.789842873176206,0.927890011223345,0.949214365881033
"26",0.740740740740741,0.744949494949495,0.918911335578002,0.941638608305275
"27",0.761069340016708,0.767752715121136,0.87468671679198,0.903091060985798
"28",0.72765246449457,0.72765246449457,0.903926482873851,0.924812030075188
"29",0.784571428571429,0.795428571428571,0.908285714285714,0.940571428571429
"30",0.754881958612649,0.762459924220344,0.901486447099971,0.918391139609443
"31",0.741687979539642,0.75589656152316,0.907928388746803,0.923557828928673
"32",0.730857142857143,0.735428571428571,0.870285714285714,0.898571428571429
"33",0.727092760180996,0.727658371040724,0.924490950226244,0.938065610859729
"34",0.7212052942833,0.720923683469445,0.869614193185018,0.892424669107294
"35",0.75,0.763020833333333,0.897858796296296,0.914351851851852
"36",0.774749721913237,0.772246941045606,0.902947719688543,0.914349276974416
"37",0.781957013574661,0.790158371040724,0.936368778280543,0.948246606334842
"38",0.752770673486786,0.744245524296675,0.910770105143507,0.933219664677465
"39",0.725405092592593,0.725694444444444,0.87962962962963,0.900462962962963
"40",0.743108837737994,0.748508098891731,0.899119067917022,0.916169366297244
"41",0.714699074074074,0.724247685185185,0.906539351851852,0.923900462962963
