"","Cryo_glm","Cryo_gam","Cryo_gbm1","Cryo_gbm2"
"mean abs error",8.29199008249313,7.78760212957104,4.418746844415,4.01060233963532
"RMSE",14.2912710890787,13.6781502775703,8.06762382120661,7.2830472406932
